time=    0, Simulation Start
time=    0, Starting Reset
time=   52, Reset Completed
time=   52, Starting Test
time=   52, Starting Semi Random Test
Time=56 Error dut: Q=xxxx, rco=1, scoreboard: Q=0000, rco=1
Time=340 Error dut: Q=1110, rco=0, scoreboard: Q=1100, rco=0
Time=344 Error dut: Q=1110, rco=0, scoreboard: Q=1100, rco=0
Time=348 Error dut: Q=1110, rco=0, scoreboard: Q=1100, rco=0
time=  396, Starting Scripted Test
Time=400 Error dut: Q=1110, rco=0, scoreboard: Q=1110, rco=1
PASS
Time=408 Error dut: Q=1111, rco=0, scoreboard: Q=0000, rco=1
Time=412 Error dut: Q=1110, rco=1, scoreboard: Q=0001, rco=0
Time=416 Error dut: Q=1110, rco=1, scoreboard: Q=0010, rco=0
Time=420 Error dut: Q=1110, rco=1, scoreboard: Q=0011, rco=0
Time=424 Error dut: Q=1110, rco=1, scoreboard: Q=0100, rco=0
Time=428 Error dut: Q=1110, rco=1, scoreboard: Q=0101, rco=0
Time=432 Error dut: Q=1110, rco=1, scoreboard: Q=0110, rco=0
Time=436 Error dut: Q=1110, rco=1, scoreboard: Q=0111, rco=0
Time=440 Error dut: Q=1110, rco=0, scoreboard: Q=1000, rco=0
Time=444 Error dut: Q=1111, rco=0, scoreboard: Q=1001, rco=0
Time=448 Error dut: Q=1111, rco=0, scoreboard: Q=1010, rco=0
Time=452 Error dut: Q=1111, rco=0, scoreboard: Q=1011, rco=0
Time=456 Error dut: Q=0111, rco=0, scoreboard: Q=1100, rco=0
Time=460 Error dut: Q=0111, rco=0, scoreboard: Q=1101, rco=0
Time=464 Error dut: Q=0111, rco=0, scoreboard: Q=1110, rco=0
PASS
Time=472 Error dut: Q=1111, rco=0, scoreboard: Q=0000, rco=1
Time=476 Error dut: Q=1111, rco=0, scoreboard: Q=0001, rco=0
Time=480 Error dut: Q=1111, rco=0, scoreboard: Q=0010, rco=0
Time=484 Error dut: Q=1111, rco=0, scoreboard: Q=0011, rco=0
Time=488 Error dut: Q=1100, rco=0, scoreboard: Q=0100, rco=0
Time=492 Error dut: Q=1100, rco=0, scoreboard: Q=0101, rco=0
Time=496 Error dut: Q=1100, rco=0, scoreboard: Q=0110, rco=0
Time=500 Error dut: Q=1100, rco=0, scoreboard: Q=0111, rco=0
PASS
Time=508 Error dut: Q=1000, rco=0, scoreboard: Q=1001, rco=0
Time=512 Error dut: Q=1000, rco=0, scoreboard: Q=1010, rco=0
Time=516 Error dut: Q=1000, rco=0, scoreboard: Q=1011, rco=0
Time=520 Error dut: Q=1000, rco=1, scoreboard: Q=1100, rco=0
Time=524 Error dut: Q=1000, rco=1, scoreboard: Q=1101, rco=0
Time=528 Error dut: Q=0001, rco=1, scoreboard: Q=1110, rco=0
Time=532 Error dut: Q=0011, rco=1, scoreboard: Q=1111, rco=0
Time=536 Error dut: Q=0011, rco=1, scoreboard: Q=0000, rco=1
Time=540 Error dut: Q=0011, rco=1, scoreboard: Q=0001, rco=0
Time=544 Error dut: Q=0001, rco=1, scoreboard: Q=0010, rco=0
Time=548 Error dut: Q=0101, rco=1, scoreboard: Q=0011, rco=0
Time=552 Error dut: Q=0101, rco=1, scoreboard: Q=0100, rco=0
PASS
Time=560 Error dut: Q=0001, rco=0, scoreboard: Q=0110, rco=0
Time=564 Error dut: Q=1001, rco=0, scoreboard: Q=0101, rco=0
Time=568 Error dut: Q=1001, rco=0, scoreboard: Q=0100, rco=0
Time=572 Error dut: Q=1000, rco=0, scoreboard: Q=0011, rco=0
Time=576 Error dut: Q=1000, rco=0, scoreboard: Q=0010, rco=0
Time=580 Error dut: Q=1000, rco=0, scoreboard: Q=0001, rco=0
PASS
Time=588 Error dut: Q=0000, rco=0, scoreboard: Q=1111, rco=1
Time=592 Error dut: Q=0000, rco=0, scoreboard: Q=1110, rco=0
Time=596 Error dut: Q=0000, rco=0, scoreboard: Q=1101, rco=0
Time=600 Error dut: Q=0000, rco=0, scoreboard: Q=1100, rco=0
Time=604 Error dut: Q=0000, rco=0, scoreboard: Q=1011, rco=0
Time=608 Error dut: Q=0000, rco=0, scoreboard: Q=1010, rco=0
Time=612 Error dut: Q=0001, rco=0, scoreboard: Q=1001, rco=0
Time=616 Error dut: Q=0001, rco=0, scoreboard: Q=1000, rco=0
Time=620 Error dut: Q=0001, rco=0, scoreboard: Q=0111, rco=0
Time=624 Error dut: Q=0001, rco=0, scoreboard: Q=0110, rco=0
Time=628 Error dut: Q=0001, rco=0, scoreboard: Q=0101, rco=0
Time=632 Error dut: Q=0011, rco=0, scoreboard: Q=0100, rco=0
PASS
Time=640 Error dut: Q=0011, rco=0, scoreboard: Q=0010, rco=0
Time=644 Error dut: Q=0011, rco=0, scoreboard: Q=1111, rco=1
Time=648 Error dut: Q=1011, rco=1, scoreboard: Q=1100, rco=0
Time=652 Error dut: Q=1111, rco=1, scoreboard: Q=1001, rco=0
Time=656 Error dut: Q=1110, rco=1, scoreboard: Q=0110, rco=0
Time=660 Error dut: Q=1110, rco=1, scoreboard: Q=0011, rco=0
Time=664 Error dut: Q=1110, rco=1, scoreboard: Q=0000, rco=0
Time=668 Error dut: Q=1110, rco=1, scoreboard: Q=1101, rco=1
Time=672 Error dut: Q=1100, rco=1, scoreboard: Q=1010, rco=0
Time=676 Error dut: Q=1100, rco=1, scoreboard: Q=0111, rco=0
Time=680 Error dut: Q=1100, rco=1, scoreboard: Q=0100, rco=0
Time=684 Error dut: Q=1100, rco=1, scoreboard: Q=0001, rco=0
Time=688 Error dut: Q=1000, rco=0, scoreboard: Q=1110, rco=1
Time=692 Error dut: Q=1000, rco=0, scoreboard: Q=1011, rco=0
Time=696 Error dut: Q=1001, rco=0, scoreboard: Q=1000, rco=0
Time=700 Error dut: Q=1111, rco=0, scoreboard: Q=0101, rco=0
Time=704 Error dut: Q=1111, rco=0, scoreboard: Q=0010, rco=0
Time=708 Error dut: Q=1111, rco=0, scoreboard: Q=1111, rco=1
Time=712 Error dut: Q=1011, rco=0, scoreboard: Q=1100, rco=0
Time=716 Error dut: Q=1011, rco=0, scoreboard: Q=1001, rco=0
Time=720 Error dut: Q=1011, rco=0, scoreboard: Q=0110, rco=0
Time=724 Error dut: Q=1011, rco=0, scoreboard: Q=0011, rco=0
Time=728 Error dut: Q=1001, rco=0, scoreboard: Q=0000, rco=0
time= 1232, Test Completed
time= 1232, Simulation Completed
